Street,Suburb,Property Number,Lot/DP,Land Number 1,Land Number 2,Land Numbers,Description,Ward,Status,Area1,Area2,Areas,Zone1,Zone2,Zones,Application,Content
"77 FERNDALE ST",ANNERLEY,626996,109RP37535,10641584," 10641583",N/A,"L.108/109 RP.37535 PAR Y'PILLY",TENNYSON,CURRENT,"Area: 473 sq.m","Area: 468 sq.m",N/A,"QPP-CR2 - CHARACTER (INFILL HOUSING) ZONE","QPP-CR2 - CHARACTER (INFILL HOUSING) ZONE",N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-TBCO - TRADITIONAL BUILDING CHARACTER OVERLAY | QPP-AEO-S8 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 3-8KM SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-TBCO-N - TRADITIONAL BUILDING CHARACTER OVERLAY - NEIGHBOURHOOD CHARACTER SUB-CATEGORY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-MSDNP - MOOROOKA-STEPHENS DISTRICT NEIGHBOURHOOD PLAN | QPP-AEO-OAD - AIRPORT ENVIRONS OVERLAY - APPROACH AND DEPARTURE LIMITATION SURFACE BOUNDARY AND CONTOURS SUB-CAT | QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-TBCO - TRADITIONAL BUILDING CHARACTER OVERLAY | QPP-AEO-S8 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 3-8KM SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-TBCO-N - TRADITIONAL BUILDING CHARACTER OVERLAY - NEIGHBOURHOOD CHARACTER SUB-CATEGORY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-MSDNP - MOOROOKA-STEPHENS DISTRICT NEIGHBOURHOOD PLAN | QPP-AEO-OAD - AIRPORT ENVIRONS OVERLAY - APPROACH AND DEPARTURE LIMITATION SURFACE BOUNDARY AND CONTOURS SUB-CAT |"
"21 DUKE ST",ANNERLEY,418219,183RP37417,10624905,N/A,N/A,"L.183 RP.37417 PAR Y'PILLY",TENNYSON,CURRENT,"Area: 412 sq.m",N/A,N/A,"QPP-LMR2 - LOW MEDIUM DENSITY RESIDENTIAL (2 OR 3 STOREY MIX) ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-TNO - TRANSPORT NOISE CORRIDOR OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-TNO-QD4 - TRANSPORT NOISE CORRIDOR OVERLAY - QUEENSLAND DEVELOPMENT CODE MP4.4 NOISE CATEGORY 4 SUB-CATEGORY | QPP-AEO-S8 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 3-8KM SUB-CATEGORY | QPP-TAO - TRANSPORT AIR QUALITY CORRIDOR OVERLAY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-ASSO-P - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY-POTENTIAL AND ACTUAL ACID SULFATE SOILS SUB-CATEGORY | QPP-ASSO-L2 - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY - LAND ABOVE 5M AHD AND BELOW 20M AHD SUB-CATEGORY | QPP-ECNP - EASTERN CORRIDOR NEIGHBOURHOOD PLAN | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-TNO-QD3 - TRANSPORT NOISE CORRIDOR OVERLAY - QUEENSLAND DEVELOPMENT CODE MP4.4 NOISE CATEGORY 3 SUB-CATEGORY | QPP-ECNP-7B - EASTERN CORRIDOR NP - ANNERLEY RESIDENTIAL 7B SUB-PRECINCT | QPP-ASSO - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY | QPP-AEO-OAD - AIRPORT ENVIRONS OVERLAY - APPROACH AND DEPARTURE LIMITATION SURFACE BOUNDARY AND CONTOURS SUB-CAT | QPP-ECNP-7 - EASTERN CORRIDOR NP - ANNERLEY PRECINCT |"
"23 DUKE ST",ANNERLEY,625335,182RP37417,10624907," 10624906",N/A,"L.182 413 RP.37417 PAR Y'PILLY",TENNYSON,CURRENT,"Area: 207 sq.m","Area: 412 sq.m",N/A,"QPP-LMR2 - LOW MEDIUM DENSITY RESIDENTIAL (2 OR 3 STOREY MIX) ZONE","QPP-LMR2 - LOW MEDIUM DENSITY RESIDENTIAL (2 OR 3 STOREY MIX) ZONE",N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-TNO - TRANSPORT NOISE CORRIDOR OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-TNO-QD4 - TRANSPORT NOISE CORRIDOR OVERLAY - QUEENSLAND DEVELOPMENT CODE MP4.4 NOISE CATEGORY 4 SUB-CATEGORY | QPP-AEO-S8 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 3-8KM SUB-CATEGORY | QPP-TAO - TRANSPORT AIR QUALITY CORRIDOR OVERLAY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-ASSO-P - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY-POTENTIAL AND ACTUAL ACID SULFATE SOILS SUB-CATEGORY | QPP-ASSO-L2 - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY - LAND ABOVE 5M AHD AND BELOW 20M AHD SUB-CATEGORY | QPP-ECNP - EASTERN CORRIDOR NEIGHBOURHOOD PLAN | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-TNO-QD3 - TRANSPORT NOISE CORRIDOR OVERLAY - QUEENSLAND DEVELOPMENT CODE MP4.4 NOISE CATEGORY 3 SUB-CATEGORY | QPP-ECNP-7B - EASTERN CORRIDOR NP - ANNERLEY RESIDENTIAL 7B SUB-PRECINCT | QPP-ASSO - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY | QPP-AEO-OAD - AIRPORT ENVIRONS OVERLAY - APPROACH AND DEPARTURE LIMITATION SURFACE BOUNDARY AND CONTOURS SUB-CAT | QPP-ECNP-7 - EASTERN CORRIDOR NP - ANNERLEY PRECINCT | QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-TNO - TRANSPORT NOISE CORRIDOR OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-TNO-QD4 - TRANSPORT NOISE CORRIDOR OVERLAY - QUEENSLAND DEVELOPMENT CODE MP4.4 NOISE CATEGORY 4 SUB-CATEGORY | QPP-AEO-S8 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 3-8KM SUB-CATEGORY | QPP-TAO - TRANSPORT AIR QUALITY CORRIDOR OVERLAY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-ASSO-P - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY-POTENTIAL AND ACTUAL ACID SULFATE SOILS SUB-CATEGORY | QPP-ASSO-L2 - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY - LAND ABOVE 5M AHD AND BELOW 20M AHD SUB-CATEGORY | QPP-ECNP - EASTERN CORRIDOR NEIGHBOURHOOD PLAN | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-TNO-QD3 - TRANSPORT NOISE CORRIDOR OVERLAY - QUEENSLAND DEVELOPMENT CODE MP4.4 NOISE CATEGORY 3 SUB-CATEGORY | QPP-ECNP-7B - EASTERN CORRIDOR NP - ANNERLEY RESIDENTIAL 7B SUB-PRECINCT | QPP-ASSO - POTENTIAL AND ACTUAL ACID SULFATE SOILS OVERLAY | QPP-AEO-OAD - AIRPORT ENVIRONS OVERLAY - APPROACH AND DEPARTURE LIMITATION SURFACE BOUNDARY AND CONTOURS SUB-CAT | QPP-ECNP-7 - EASTERN CORRIDOR NP - ANNERLEY PRECINCT |"
"2 SYDNEY AV","CAMP HILL",891427,1SP169422,11026974,N/A,N/A,"L.1 SP.169422 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 400 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"4 SYDNEY AV","CAMP HILL",552025,194RP62471,10825950,N/A,N/A,"L.194 RP.62471 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 713 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-BO-HH - BUSHFIRE OVERLAY - HIGH HAZARD AREA SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-BO-MH - BUSHFIRE OVERLAY - MEDIUM HAZARD AREA SUB-CATEGORY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"6 SYDNEY AV","CAMP HILL",552026,1RP62471,10825951,N/A,N/A,"L.1 RP.62471 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 708 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-BO-HH - BUSHFIRE OVERLAY - HIGH HAZARD AREA SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-BO-MH - BUSHFIRE OVERLAY - MEDIUM HAZARD AREA SUB-CATEGORY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"8 SYDNEY AV","CAMP HILL",552027,130RP13178,10825952,N/A,N/A,"L.130 RP.13178 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 640 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"10 SYDNEY AV","CAMP HILL",552028,131RP13178,10825953,N/A,N/A,"L.131 RP.13178 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 640 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"11 SYDNEY AV","CAMP HILL",552029,129RP13178,10825954,N/A,N/A,"L.129 RP.13178 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 809 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"A003954778 - Subdivision of LandA003974103 - Subdivision of Land","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"12 SYDNEY AV","CAMP HILL",552030,132RP13178,10825955,N/A,N/A,"L.132 RP.13178 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 607 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"13 SYDNEY AV","CAMP HILL",1029043,1SP223886,11280467,N/A,N/A,"L.1 SP.223886 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 405 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-BO - BUSHFIRE OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-BO-HBU - BUSHFIRE OVERLAY - HIGH HAZARD BUFFER AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
